pair_id,MM,WTG,group,magnitude,mismatch,ratio_mismatch_over_magnitude,abs_e_overall,distance_m,dz
2012WM006__2017PA006,2017PA006,2012WM006,FOREST,0.014036163836163837,0.0062799200799200814,0.44741000128112063,0.004563875232445169,2648.921478639939,-5.0
2017PA006__2012WM006,2012WM006,2017PA006,FOREST,0.01409195,0.006228100000000005,0.44196154542132243,0.0038705522281653137,2648.921478639939,5.0
2011WM011__2014WM011,2014WM011,2011WM011,FOREST,0.01755059880239521,0.011715169660678674,0.6675082595517967,0.028964395234551656,3249.729834924743,35.0
2014WM011__2011WM011,2011WM011,2014WM011,FOREST,0.01793078078078078,0.011239739739739772,0.6268405083501526,0.03744256613375561,3249.729834924743,-35.0
2021PA013__2022PA020,2022PA020,2021PA013,KEPT,0.0,0.0,,0.014927445693952117,5710.248068166566,8.700000000000045
2022PA020__2021PA013,2021PA013,2022PA020,KEPT,0.0,0.0,,0.01492377688383131,5710.248068166566,-8.700000000000045
2023PA001__2024PA020,2024PA020,2023PA001,KEPT,0.0,0.0,,0.008170616424095273,4490.817520229474,58.0
2024KA001__2024KA002,2024KA002,2024KA001,KEPT,0.0,0.0,,0.018480756228406996,12174.74903232095,-64.5
2024KA002__2024KA001,2024KA001,2024KA002,KEPT,0.0,0.0,,0.018304545635832267,12174.74903232095,64.5
2024PA020__2023PA001,2023PA001,2024PA020,KEPT,0.0,0.0,,0.0071583049674859844,4490.817520229474,-58.0
2023PA009__2022PA028,2022PA028,2023PA009,KEPT,0.0009351759999999942,0.0008723759999999829,0.9328468651890001,0.002067611332162055,4625.316854011193,1.200000000000003
2022PA028__2023PA009,2023PA009,2022PA028,KEPT,0.0009417600823991698,0.0008602703972960098,0.9134708652170074,0.001900455882732864,4625.316854011193,-1.200000000000003
2023VR137__2020PA013,2020PA013,2023VR137,KEPT,0.0015366486335136554,0.0,0.0,0.0018259747390347496,5.0,-0.2000000000000011
2020PA013__2023VR137,2023VR137,2020PA013,KEPT,0.0015515914840851497,0.0,0.0,0.0018267677603805328,5.0,0.2000000000000011
2024PA049__2023PA032,2023PA032,2024PA049,KEPT,0.0028982140178597936,0.006803929960700398,2.347628545984609,0.004992597121221201,6928.792679825252,41.0
2023PA032__2024PA049,2024PA049,2023PA032,KEPT,0.002909914400855963,0.006806158938410619,2.3389550346939965,0.0050670367982090445,6928.792679825252,-41.0
2023PA031__2021PA007,2021PA007,2023PA031,KEPT,0.0030647484999999893,0.005129377000000018,1.6736697970486114,0.053583860873799766,9277.011210513869,-40.60000000000001
2021PA007__2023PA031,2023PA031,2021PA007,KEPT,0.0031121339999999843,0.005031322000000012,1.6166791018638778,0.051123625689039394,9277.011210513869,40.60000000000001
2016WM019__2015WM014,2015WM014,2016WM019,KEPT,0.0038991695000000033,0.005720863000000003,1.4672003871593677,0.00789553829005783,9328.376600459482,19.09999999999999
2015WM014__2016WM019,2016WM019,2015WM014,KEPT,0.003936012360123604,0.005682910829108299,1.4438244368038105,0.008070357372652362,9328.376600459482,-19.09999999999999
