config,feature,n,pearson,spearman,bias
clean (all 3 out),A,41,0.9293526746796615,0.7947735191637634,-0.008250525172492992
clean (all 3 out),E,41,0.8994464073461265,0.7853658536585366,-0.0066984874899828845
all 3 in,A,47,0.4296739434099571,0.7040934320074007,-0.007782478601137091
all 3 in,E,47,0.4873879956813068,0.7168131359851988,-0.006087575317536145
-Kayislar (Hult+Mal in),A,45,0.8742776352835934,0.6793148880105402,-0.009270457529504682
-Kayislar (Hult+Mal in),E,45,0.8702134921049152,0.6922266139657444,-0.008155634367740793
-Hultema (Kay+Mal in),A,45,0.35759547928677193,0.7119894598155467,-0.004230314642704555
-Hultema (Kay+Mal in),E,45,0.4777661719058354,0.728722002635046,-0.003975532012643652
-Malarberget (Kay+Hult in),A,45,0.37985740530776096,0.7163372859025032,-0.006484455722346667
-Malarberget (Kay+Hult in),E,45,0.45546736729172804,0.7154150197628457,-0.005273488013014744
