Location,MM,WTG,Windspeed uncertainty,Windspeed Bias,distance_m,excluded,exclusion_flag
Slovenska East,2024PA061,2024PA107,0.4406235617158991,0.0503,12404.26,True,WTG=2024PA107:Slovenska East (missing displacement)
Slovenska East,2024PA107,2024PA061,0.4138370320907224,-0.0472,12404.26,True,MM=2024PA107:Slovenska East (missing displacement)
Herzhausen,2020PA011,2019PA023,0.286737435866815,0.1888,1534.35,False,
Herzhausen CFD,2019HE003,2019HE001,0.2848071944075676,0.1295,1534.35,True,"MM=2019HE003:Herzhausen (CFD, not comparable); WTG=2019HE001:Herzhausen (CFD, not comparable)"
Doringbaai,2023PA062,2022PA017,0.2806106280669841,0.0899,16697.94,False,
Sallachy,2021PA004,2022PA008,0.2666077686749099,0.0369,3559.47,True,MM=2021PA004:Sallachy (complex terrain); WTG=2022PA008:Sallachy (complex terrain)
Sallachy,2022PA008,2021PA004,0.2641288887959088,-0.0267,3559.47,True,MM=2022PA008:Sallachy (complex terrain); WTG=2021PA004:Sallachy (complex terrain)
Doringbaai,2022PA017,2023PA062,0.2569771658537189,-0.0777,16697.94,False,
Herzhausen,2019PA024,2019PA023,0.246141824576104,0.1523,1658.95,False,
Herzhausen,2019PA023,2020PA011,0.2459546357496763,-0.1608,1534.35,False,
Herzhausen CFD,2019HE002,2019HE001,0.2458625584079974,0.1133,1658.95,True,"MM=2019HE002:Herzhausen (CFD, not comparable); WTG=2019HE001:Herzhausen (CFD, not comparable)"
Ukhanda,2023PA085,2023PA001,0.2421585712415343,0.0076,7390.53,True,MM=2023PA085:Ukhanda (2 mast + LiDAR)
Ukhanda,2023PA001,2023PA085,0.2320387854333608,0.0034,7390.53,True,WTG=2023PA085:Ukhanda (2 mast + LiDAR)
Sallachy,2012WM005,2015WM018,0.2298621029824073,0.0263,1797.17,True,WTG=2015WM018:Sallachy (complex terrain)
Kabbo,2024KA001,2024KA002,0.225155952453269,0.0208,12174.75,False,
Herzhausen CFD,2019HE001,2019HE002,0.2225602314502483,-0.0935,1658.95,True,"MM=2019HE001:Herzhausen (CFD, not comparable); WTG=2019HE002:Herzhausen (CFD, not comparable)"
Kayislar,2022PA018,2023PA046,0.2213997503360546,0.0588,4847.1,True,MM=2022PA018:Kayislar (only 2 dominant directions)
Kabbo,2024KA002,2024KA001,0.2212195525794967,-0.0162,12174.75,False,
Sallachy,2015WM018,2012WM005,0.2183372859797481,-0.0151,1797.17,True,MM=2015WM018:Sallachy (complex terrain)
Herzhausen,2019PA023,2019PA024,0.2178468131880921,-0.1326,1658.95,False,
Balverwald,2024PA094,2024PA013,0.2116517717457947,0.1227,1286.02,False,
Kayislar,2023PA046,2022PA018,0.2110445908992042,-0.0375,4847.1,True,WTG=2022PA018:Kayislar (only 2 dominant directions)
Balverwald,2024PA013,2024PA094,0.1915188522111539,-0.0955,1286.02,False,
Sallachy,2022PA007,2022PA008,0.1844782018598792,0.0355,1307.45,True,WTG=2022PA008:Sallachy (complex terrain)
Ukhanda,2024PA020,2023PA085,0.1837240034886506,-0.0016,4705.45,True,WTG=2023PA085:Ukhanda (2 mast + LiDAR)
Pyrzyce III,2023PA031,2021PA007,0.1834511910447759,0.0572,9277.01,False,
Sallachy,2021PA004,2022PA007,0.1823124575435896,0.0099,2262.4,True,MM=2021PA004:Sallachy (complex terrain)
Sallachy,2022PA007,2021PA004,0.1806658585839453,-0.0062,2262.4,True,WTG=2021PA004:Sallachy (complex terrain)
Sallachy,2022PA008,2022PA007,0.179039145586376,-0.0296,1307.45,True,MM=2022PA008:Sallachy (complex terrain)
Ukhanda,2024PA020,2023PA001,0.178010890953787,0.0095,4490.82,False,
Balverwald,2024PA013,2024PA014,0.1768932205829281,0.0752,1213.41,True,WTG=2024PA014:Balver Wald (uncertain site)
Hultema,2011WM011,2014WM011,0.1749437731997339,-0.0274,3249.73,True,"MM=2011WM011:Hultema (forest, persistent outlier); WTG=2014WM011:Hultema (forest, persistent outlier)"
Pyrzyce III,2021PA007,2023PA031,0.1736254400998203,-0.0485,9277.01,False,
Taaibos,2022PA021,2021PA013,0.1734357424217191,0.0327,7555.65,True,"MM=2022PA021:Taaibos (3-mast, dropped for fit)"
Taaibos,2022PA020,2022PA021,0.1707726699070732,0.0233,7131.63,True,"WTG=2022PA021:Taaibos (3-mast, dropped for fit)"
Taaibos,2022PA021,2022PA020,0.1687419643168636,0.0175,7131.63,True,"MM=2022PA021:Taaibos (3-mast, dropped for fit)"
Taaibos,2021PA013,2022PA021,0.168207874283176,-0.0272,7555.65,True,"WTG=2022PA021:Taaibos (3-mast, dropped for fit)"
Ukhanda,2023PA001,2024PA020,0.1658741755179356,-0.0055,4490.82,False,
Balverwald,2024PA014,2024PA013,0.1651240969715808,-0.0334,1213.41,True,MM=2024PA014:Balver Wald (uncertain site)
Courcelles-sous,2015WM014,2016WM019,0.1613123923579117,0.0109,9328.38,False,
Taaibos,2022PA020,2021PA013,0.160777369645746,0.0544,5710.25,False,
Mikolajki Pomorskie,2014WM002,2012WM012,0.1603945717798819,0.0189,6258.87,False,
Clermont en Argonne,2018PA014,2018PA006,0.1602677659271487,0.0584,4248.67,False,
Pelczyce,2024PA024,2023PA032,0.1585694132592844,0.0474,8273.98,False,
Mikolajki Pomorskie,2012WM012,2014WM002,0.1583860727489286,-0.0156,6258.87,False,
Courcelles-sous,2016WM019,2015WM014,0.1576318698786027,-0.0199,9328.38,False,
Pyrzyce III,2023PA025,2021PA007,0.1528949970773162,0.041,6297.54,False,
Pelczyce,2023PA032,2024PA024,0.1516721857646434,-0.0404,8273.98,False,
Clermont en Argonne,2018PA006,2018PA014,0.1511242199015303,-0.0532,4248.67,False,
Pyrzyce III,2021PA007,2023PA025,0.1474546956980902,-0.0335,6297.54,False,
Trzcinsko Zdroj,2023PA038,2022PA005,0.1470456484896455,0.0339,4594.77,False,
Sundern,2021PA009,2023PA004,0.1461977867333375,0.0467,1349.67,False,
Taaibos,2021PA013,2022PA020,0.1455780729664641,-0.0127,5710.25,False,
Trzcinsko Zdroj,2022PA005,2023PA038,0.1424907688906814,-0.0255,4594.77,False,
Pelczyce,2024PA049,2023PA032,0.1405763444652664,0.0078,6928.79,False,
Sundern,2023PA003,2023PA004,0.1405575497520165,0.0374,1400.4,False,
Pelczyce,2023PA032,2024PA049,0.1398341584983497,-0.0027,6928.79,False,
Sundern,2023PA004,2021PA009,0.139568421197183,-0.0402,1349.67,False,
Malarberget,2017PA006,2012WM006,0.1356775275744062,-0.0008,2648.92,True,"WTG=2012WM006:Malarberget (forest, persistent outlier)"
Sundern,2023PA004,2023PA003,0.1356575014227018,-0.0319,1400.4,False,
