pair_id,predicted_sigma,actual_abs_error
2012WM012__2014WM002,0.03234300974614889,0.017941559577278197
2014WM002__2012WM012,0.032761371235125895,0.015359882355140431
2015WM014__2016WM019,0.038475249491414724,0.008070357372652362
2016WM019__2015WM014,0.0382355991984646,0.00789553829005783
2018PA006__2018PA014,0.04983082710655677,0.054552817655395096
2018PA014__2018PA006,0.05395762970516818,0.055757694786604
2019PA023__2019PA024,0.1422844556525859,0.1355354758864165
2019PA024__2019PA023,0.15922420141074078,0.14784710817784852
2019PA023__2020PA011,0.2064065884699757,0.16404124059345146
2020PA011__2019PA023,0.29108507435992204,0.17997019624534774
2020PA013__2023VR137,0.005712049234804391,0.0018267677603805328
2023VR137__2020PA013,0.005711974829330859,0.0018259747390347496
2021PA007__2023PA025,0.03546031217045051,0.036122265181059605
2023PA025__2021PA007,0.035516563033910264,0.037505614891954246
2021PA007__2023PA031,0.035661772249730425,0.051123625689039394
2023PA031__2021PA007,0.03531569885261599,0.053583860873799766
2021PA009__2023PA003,0.004379990810857463,0.01053172364059954
2021PA009__2023PA004,0.04947362156114505,0.0439623939155673
2023PA004__2021PA009,0.04520754267689139,0.042588006225736524
2021PA013__2022PA020,0.009044463055143781,0.014927445693952117
2022PA020__2021PA013,0.009031818412186306,0.01492377688383131
2022PA005__2023PA038,0.022690767372612212,0.02888014093149872
2023PA038__2022PA005,0.024335108228353983,0.03004372321642684
2022PA017__2023PA062,0.0559617540624748,0.07981836802182686
2023PA062__2022PA017,0.06955170657041915,0.08738661050518806
2022PA028__2023PA009,0.011485852420042004,0.001900455882732864
2023PA009__2022PA028,0.011516702567248974,0.002067611332162055
2023PA001__2024PA020,0.03302294091125013,0.008170616424095273
2024PA020__2023PA001,0.03334936000419801,0.0071583049674859844
2023PA003__2023PA004,0.046015264785261155,0.03513092398041238
2023PA004__2023PA003,0.046140761795037316,0.03430532557425242
2023PA032__2024PA024,0.0218258318780912,0.04281852552381482
2024PA024__2023PA032,0.021888203654444067,0.04439925112413459
2023PA032__2024PA049,0.03257257747642327,0.0050670367982090445
2024PA049__2023PA032,0.03257258716397601,0.004992597121221201
2024KA001__2024KA002,0.028325799516638956,0.018480756228406996
2024KA002__2024KA001,0.028353522755003017,0.018304545635832267
2024PA013__2024PA094,0.07518221445575016,0.09996059240195514
2024PA094__2024PA013,0.07251719971993653,0.11706276520250132
2024PA028__2024PA070,0.01767635797766349,0.010426921354650618
2024PA070__2024PA028,0.017674702970929566,0.010569859940798518
